timestamp,symbol,open,high,low,close,volume,vwap,bid,ask
2026-06-08T09:00:00,005930,10000,10000,10000,10000,1000,10000,9990,10010
2026-06-08T09:00:00,000660,5000,5000,5000,5000,1200,5000,4995,5005
2026-06-08T09:00:00,035420,18000,18000,18000,18000,900,18000,17990,18010
2026-06-08T09:01:00,005930,10100,10100,10100,10100,1000,10050,10090,10110
2026-06-08T09:01:00,000660,5050,5050,5050,5050,1200,5025,5045,5055
2026-06-08T09:01:00,035420,18180,18180,18180,18180,900,18090,18170,18190
2026-06-08T09:02:00,005930,10300,10300,10300,10300,3000,10100,10290,10310
2026-06-08T09:02:00,000660,5150,5150,5150,5150,3200,5080,5145,5155
2026-06-08T09:02:00,035420,18540,18540,18540,18540,2600,18300,18530,18550
2026-06-08T09:03:00,005930,10600,10600,10600,10600,6000,10300,10590,10610
2026-06-08T09:03:00,000660,5300,5300,5300,5300,6200,5200,5295,5305
2026-06-08T09:03:00,035420,19080,19080,19080,19080,5200,18720,19070,19090
2026-06-08T09:04:00,005930,10400,10400,10400,10400,1800,10350,10390,10410
2026-06-08T09:04:00,000660,5220,5220,5220,5220,1900,5240,5215,5225
2026-06-08T09:04:00,035420,18800,18800,18800,18800,1600,18900,18790,18810
